from,to,relationship,year,winner
rabo,einsamkeit,3,2017,1
mafe,wunderlichs,3,2017,1
coki,casting,3,2018,1
sahü,gängen,3,2018,1
alfe,hauptmann,3,2018,1
laco,hodell,1,99,99
kamasc,rudorff,1,99,99
niho,players,1,99,99
niku,schlag,1,99,99
clme,lentz,1,99,99
mebe,players,1,99,99
felau,players,1,99,99
cfri,players,1,99,99
hako,stelljes,1,99,99
joba,yumi,1,99,99
bukl,schlag,1,99,99
jötr,players,1,99,99
caju,schneider,1,99,99
jukö,players,1,99,99
sahü,schneider,1,99,99
kari,agenten,1,99,99
diha,neidig,1,99,99
